"complemento.valorTotal";"emit.cnpj";"emit.xFant";"emit.enderEmit.fone";"emit.enderEmit.xBairro";"emit.enderEmit.xLgr";"emit.enderEmit.xMun";"emit.enderEmit.xPais";"emit.enderEmit.uf";"ide.dhEmi";"ide.natOp";"infAdic.infCpl";"total.icmsTot.vDesc";"total.icmsTot.vFrete";"total.icmsTot.vOutro";"total.icmsTot.vProd";"total.icmsTot.vSeg";"total.icmsTot.vTotTrib";"total.icmsTot.vbc";"total.icmsTot.vbcst";"total.icmsTot.vcofins";"total.icmsTot.vicms";"total.icmsTot.vicmsDeson";"total.icmsTot.vii";"total.icmsTot.vipi";"total.icmsTot.vnf";"total.icmsTot.vpis";"total.icmsTot.vst";"id";"nItem";"prod.indTot";"prod.qCom";"prod.uCom";"prod.vProd";"prod.vUnCom";"prod.xProd"
57,11;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:22:16;"VENDA";"Mesa 7";0;0;0;57,11;0;5,79;0;0;0;0;0;0;0;57,11;0;0;"7";"1";"1";1;"UN";3,5;3,5;"AGUA"
57,11;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:22:16;"VENDA";"Mesa 7";0;0;0;57,11;0;5,79;0;0;0;0;0;0;0;57,11;0;0;"7";"2";"1";0,716;"KG";49,11;68,6;"BUFFET"
57,11;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:22:16;"VENDA";"Mesa 7";0;0;0;57,11;0;5,79;0;0;0;0;0;0;0;57,11;0;0;"7";"3";"1";1;"UN";4,5;4,5;"CERVEJA"
36,19;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:22:57;"VENDA";"Mesa 9";0;0;0;36,19;0;3,43;0;0;0;0;0;0;0;36,19;0;0;"8";"1";"1";0,462;"KG";31,69;68,6;"BUFFET"
36,19;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:22:57;"VENDA";"Mesa 9";0;0;0;36,19;0;3,43;0;0;0;0;0;0;0;36,19;0;0;"8";"2";"1";1;"UN";4,5;4,5;"CERVEJA"
32,37;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:23:25;"VENDA";"Mesa 10";0;0;0;32,37;0;1,36;0;0;0;0;0;0;0;32,37;0;0;"9";"1";"1";0,472;"KG";32,37;68,6;"BUFFET"
119,47;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:30:26;"VENDA";"Mesa 11";0;0;0;119,48;0;6,9;0;0;0;0;0;0;0;80,65;0;0;"10";"1";"1";3;"UN";3;1;"CHA"
119,47;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:30:26;"VENDA";"Mesa 11";0;0;0;119,48;0;6,9;0;0;0;0;0;0;0;80,65;0;0;"10";"2";"1";1,7;"KG";116,48;68,6;"BUFFET"
37,04;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:33:30;"VENDA";"Mesa 15";0;0;0;37,04;0;1,56;0;0;0;0;0;0;0;24,69;0;0;"11";"1";"1";0,54;"KG";37,04;68,6;"BUFFET"
32,41;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:34:09;"VENDA";"Mesa 14";0;0;0;32,41;0;1,79;0;0;0;0;0;0;0;32,41;0;0;"12";"1";"1";1;"UN";1;1;"CHA"
32,41;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:34:09;"VENDA";"Mesa 14";0;0;0;32,41;0;1,79;0;0;0;0;0;0;0;32,41;0;0;"12";"2";"1";0,458;"KG";31,41;68,6;"BUFFET"
34,17;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:35:11;"VENDA";"Mesa 16";0;0;0;34,17;0;2,79;0;0;0;0;0;0;0;34,17;0;0;"13";"1";"1";1;"UN";4,5;4,5;"SUCO"
34,17;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:35:11;"VENDA";"Mesa 16";0;0;0;34,17;0;2,79;0;0;0;0;0;0;0;34,17;0;0;"13";"2";"1";0,386;"KG";26,47;68,6;"BUFFET"
34,17;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:35:11;"VENDA";"Mesa 16";0;0;0;34,17;0;2,79;0;0;0;0;0;0;0;34,17;0;0;"13";"3";"1";1;"UN";3,2;3,2;"DOCINHOS"
36,46;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:35:45;"VENDA";"Mesa 17";0;0;0;36,46;0;1,53;0;0;0;0;0;0;0;36,46;0;0;"14";"1";"1";1;"UN";4,5;4,5;"SUCO"
36,46;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:35:45;"VENDA";"Mesa 17";0;0;0;36,46;0;1,53;0;0;0;0;0;0;0;36,46;0;0;"14";"2";"1";0,466;"KG";31,96;68,6;"BUFFET"
27,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:38:39;"VENDA";"Mesa 33";0;0;0;27,13;0;3,05;0;0;0;0;0;0;0;27,13;0;0;"15";"1";"1";0,33;"KG";22,63;68,6;"BUFFET"
27,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:38:39;"VENDA";"Mesa 33";0;0;0;27,13;0;3,05;0;0;0;0;0;0;0;27,13;0;0;"15";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
26,65;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:40:43;"VENDA";"Mesa 26";0;0;0;26,65;0;1,55;0;0;0;0;0;0;0;26,65;0;0;"16";"1";"1";1;"UN";1;1;"CHA"
26,65;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:40:43;"VENDA";"Mesa 26";0;0;0;26,65;0;1,55;0;0;0;0;0;0;0;26,65;0;0;"16";"2";"1";0,374;"KG";25,65;68,6;"BUFFET"
30,59;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:43:22;"VENDA";"Mesa 18";0;0;0;30,59;0;1,29;0;0;0;0;0;0;0;30,59;0;0;"17";"1";"1";0,446;"KG";30,59;68,6;"BUFFET"
33,99;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:43:58;"VENDA";"Mesa 19";0;0;0;33,99;0;3,34;0;0;0;0;0;0;0;33,99;0;0;"18";"1";"1";0,43;"KG";29,49;68,6;"BUFFET"
33,99;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:43:58;"VENDA";"Mesa 19";0;0;0;33,99;0;3,34;0;0;0;0;0;0;0;33,99;0;0;"18";"2";"1";1;"UN";4,5;4,5;"CERVEJA"
21,71;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:45:28;"VENDA";"Mesa 23";0;0;0;21,71;0;1,34;0;0;0;0;0;0;0;21,71;0;0;"19";"1";"1";1;"UN";1;1;"CHA"
21,71;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:45:28;"VENDA";"Mesa 23";0;0;0;21,71;0;1,34;0;0;0;0;0;0;0;21,71;0;0;"19";"2";"1";0,302;"KG";20,71;68,6;"BUFFET"
32,35;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:46:02;"VENDA";"Mesa 24";0;0;0;32,35;0;3,27;0;0;0;0;0;0;0;32,35;0;0;"20";"1";"1";1;"UN";3,5;3,5;"AGUA"
32,35;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:46:02;"VENDA";"Mesa 24";0;0;0;32,35;0;3,27;0;0;0;0;0;0;0;32,35;0;0;"20";"2";"1";1;"UN";1;1;"CHA"
32,35;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:46:02;"VENDA";"Mesa 24";0;0;0;32,35;0;3,27;0;0;0;0;0;0;0;32,35;0;0;"20";"3";"1";0,406;"KG";27,85;68,6;"BUFFET"
23,77;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:46:49;"VENDA";"Mesa 22";0;0;0;23,77;0;1,43;0;0;0;0;0;0;0;23,77;0;0;"21";"1";"1";1;"UN";1;1;"CHA"
23,77;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:46:49;"VENDA";"Mesa 22";0;0;0;23,77;0;1,43;0;0;0;0;0;0;0;23,77;0;0;"21";"2";"1";0,332;"KG";22,77;68,6;"BUFFET"
23,46;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:47:35;"VENDA";"Mesa 47";0;0;0;23,46;0;0,99;0;0;0;0;0;0;0;23,46;0;0;"22";"1";"1";0,342;"KG";23,46;68,6;"BUFFET"
62,36;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:48:19;"VENDA";"Mesa 51";0;0;0;62,37;0;4,53;0;0;0;0;0;0;0;62,37;0;0;"23";"1";"1";1;"UN";4,5;4,5;"LIMONADA"
62,36;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:48:19;"VENDA";"Mesa 51";0;0;0;62,37;0;4,53;0;0;0;0;0;0;0;62,37;0;0;"23";"2";"1";0,778;"KG";53,37;68,6;"BUFFET"
62,36;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:48:19;"VENDA";"Mesa 51";0;0;0;62,37;0;4,53;0;0;0;0;0;0;0;62,37;0;0;"23";"3";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
29,97;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:49:12;"VENDA";"Mesa 40";0;0;0;29,97;0;2,74;0;0;0;0;0;0;0;29,97;0;0;"24";"1";"1";1;"UN";3,5;3,5;"AGUA"
29,97;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:49:12;"VENDA";"Mesa 40";0;0;0;29,97;0;2,74;0;0;0;0;0;0;0;29,97;0;0;"24";"2";"1";0,386;"KG";26,47;68,6;"BUFFET"
47,3;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:52:50;"VENDA";"Mesa 71";0;0;0;47,3;0;3,9;0;0;0;0;0;0;0;47,3;0;0;"25";"1";"1";0,624;"KG";42,8;68,6;"BUFFET"
47,3;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:52:50;"VENDA";"Mesa 71";0;0;0;47,3;0;3,9;0;0;0;0;0;0;0;47,3;0;0;"25";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
39,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:55:15;"VENDA";"Mesa 68";0;0;0;39,14;0;2,07;0;0;0;0;0;0;0;39,14;0;0;"26";"1";"1";1;"UN";1;1;"CHA"
39,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:55:15;"VENDA";"Mesa 68";0;0;0;39,14;0;2,07;0;0;0;0;0;0;0;39,14;0;0;"26";"2";"1";0,556;"KG";38,14;68,6;"BUFFET"
34,27;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:56:10;"VENDA";"Mesa 21";0;0;0;34,27;0;3,35;0;0;0;0;0;0;0;34,27;0;0;"27";"1";"1";0,434;"KG";29,77;68,6;"BUFFET"
34,27;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:56:10;"VENDA";"Mesa 21";0;0;0;34,27;0;3,35;0;0;0;0;0;0;0;34,27;0;0;"27";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
22,22;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 12:57:05;"VENDA";"Mesa 60";0;0;0;22,22;0;0,93;0;0;0;0;0;0;0;22,22;0;0;"28";"1";"1";0,324;"KG";22,22;68,6;"BUFFET"
39,17;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:00:18;"VENDA";"Mesa 37";0;0;0;39,17;0;3,13;0;0;0;0;0;0;0;39,17;0;0;"29";"1";"1";1;"UN";3,5;3,5;"AGUA"
39,17;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:00:18;"VENDA";"Mesa 37";0;0;0;39,17;0;3,13;0;0;0;0;0;0;0;39,17;0;0;"29";"2";"1";0,52;"KG";35,67;68,6;"BUFFET"
27,16;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:06:13;"VENDA";"Mesa 61";0;0;0;27,16;0;1,14;0;0;0;0;0;0;0;27,16;0;0;"30";"1";"1";0,396;"KG";27,16;68,6;"BUFFET"
45,01;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:06:38;"VENDA";"Mesa 59";0;0;0;45,01;0;5,16;0;0;0;0;0;0;0;45,01;0;0;"31";"1";"1";0,544;"KG";37,31;68,6;"BUFFET"
45,01;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:06:38;"VENDA";"Mesa 59";0;0;0;45,01;0;5,16;0;0;0;0;0;0;0;45,01;0;0;"31";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
45,01;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:06:38;"VENDA";"Mesa 59";0;0;0;45,01;0;5,16;0;0;0;0;0;0;0;45,01;0;0;"31";"3";"1";1;"UN";3,2;3,2;"DOCINHOS"
44,83;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:07:07;"VENDA";"Mesa 56";0;0;0;44,83;0;3,79;0;0;0;0;0;0;0;44,83;0;0;"32";"1";"1";0,588;"KG";40,33;68,6;"BUFFET"
44,83;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:07:07;"VENDA";"Mesa 56";0;0;0;44,83;0;3,79;0;0;0;0;0;0;0;44,83;0;0;"32";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
62,08;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:08:13;"VENDA";"Mesa 72";0;0;0;62,08;0;4,09;0;0;0;0;0;0;0;62,08;0;0;"33";"1";"1";1;"UN";3,5;3,5;"AGUA"
62,08;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:08:13;"VENDA";"Mesa 72";0;0;0;62,08;0;4,09;0;0;0;0;0;0;0;62,08;0;0;"33";"2";"1";0,854;"KG";58,58;68,6;"BUFFET"
22,5;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:10:26;"VENDA";"Mesa 75";0;0;0;22,5;0;0,95;0;0;0;0;0;0;0;22,5;0;0;"34";"1";"1";0,328;"KG";22,5;68,6;"BUFFET"
14,26;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:11:24;"VENDA";"Mesa 53";0;0;0;14,26;0;0,6;0;0;0;0;0;0;0;14,26;0;0;"35";"1";"1";0,208;"KG";14,26;68,6;"BUFFET"
27,98;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:12:13;"VENDA";"Mesa 83";0;0;0;27,98;0;1,18;0;0;0;0;0;0;0;27,98;0;0;"36";"1";"1";0,408;"KG";27,98;68,6;"BUFFET"
25,38;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:12:51;"VENDA";"Mesa 90";0;0;0;25,38;0;1,07;0;0;0;0;0;0;0;25,38;0;0;"37";"1";"1";0,37;"KG";25,38;68,6;"BUFFET"
16,46;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:13:11;"VENDA";"Mesa 28";0;0;0;16,46;0;0,69;0;0;0;0;0;0;0;16,46;0;0;"38";"1";"1";0,24;"KG";16,46;68,6;"BUFFET"
27,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:13:19;"VENDA";"Mesa 30";0;0;0;27,13;0;3,05;0;0;0;0;0;0;0;27,13;0;0;"39";"1";"1";0,33;"KG";22,63;68,6;"BUFFET"
27,13;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:13:19;"VENDA";"Mesa 30";0;0;0;27,13;0;3,05;0;0;0;0;0;0;0;27,13;0;0;"39";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
32,1;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:13:28;"VENDA";"Mesa 35";0;0;0;32,1;0;1,35;0;0;0;0;0;0;0;32,1;0;0;"40";"1";"1";0,468;"KG";32,1;68,6;"BUFFET"
94,94;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:14:24;"VENDA";"Mesa 63";0;0;0;94,95;0;7,38;0;0;0;0;0;0;0;94,95;0;0;"41";"1";"1";1;"UN";4,5;4,5;"SUCO"
94,94;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:14:24;"VENDA";"Mesa 63";0;0;0;94,95;0;7,38;0;0;0;0;0;0;0;94,95;0;0;"41";"2";"1";1;"UN";3,5;3,5;"AGUA"
94,94;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:14:24;"VENDA";"Mesa 63";0;0;0;94,95;0;7,38;0;0;0;0;0;0;0;94,95;0;0;"41";"3";"1";1,202;"KG";82,45;68,6;"BUFFET"
94,94;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:14:24;"VENDA";"Mesa 63";0;0;0;94,95;0;7,38;0;0;0;0;0;0;0;94,95;0;0;"41";"4";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
35,04;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:15:06;"VENDA";"Mesa 36";0;0;0;35,05;0;2,96;0;0;0;0;0;0;0;35,05;0;0;"42";"1";"1";1;"UN";3,5;3,5;"AGUA"
35,04;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:15:06;"VENDA";"Mesa 36";0;0;0;35,05;0;2,96;0;0;0;0;0;0;0;35,05;0;0;"42";"2";"1";0,46;"KG";31,55;68,6;"BUFFET"
20,58;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:15:54;"VENDA";"Mesa 57";0;0;0;20,58;0;0,86;0;0;0;0;0;0;0;20,58;0;0;"43";"1";"1";0,3;"KG";20,58;68,6;"BUFFET"
34,54;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:16:04;"VENDA";"Mesa 58";0;0;0;34,54;0;3,36;0;0;0;0;0;0;0;34,54;0;0;"44";"1";"1";0,438;"KG";30,04;68,6;"BUFFET"
34,54;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:16:04;"VENDA";"Mesa 58";0;0;0;34,54;0;3,36;0;0;0;0;0;0;0;34,54;0;0;"44";"2";"1";1;"UN";4,5;4,5;"REFRIGERANTE"
67,53;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:16:40;"VENDA";"Mesa 66";0;0;0;67,54;0;6,23;0;0;0;0;0;0;0;67,54;0;0;"45";"1";"1";1;"UN";3,5;3,5;"AGUA"
67,53;"01.234.567/0001-89";"Analytica";"1-650-933-4902";"";"650 Castro St. unit 210";"Mountain View";"United States";"CA";2016-01-05 13:16:40;"VENDA";"Mesa 66";0;0;0;67,54;0;6,23;0;0;0;0;0;0;0;67,54;0;0;"45";"2";"1";0,868;"KG";59,54;68,6;"BUFFET"
